Large Eyes,Red Puffles,Green Puffles,Size Large Allele,Short Hair Allele,Blue Puffles,Sum Y Allele,Long Hair,Size of Population,Medium Eyes,Small Eye Allele,Large Puffles,GreenBlue Puffles,Small Puffles,Blue Color Allele,Large Eye Allele,Size Small Allele,Males,Sum X Allele,Medium Puffles,Females,Small Eyes,Short Hair,RedBlue Puffles,RedGreen Puffles,Green Color Allele,Red Color Allele,Long Hair Allele
3897,1147,1110,10019,9979,1081,4989,7558,10000,4707,7499,2489,2196,2470,9877,12501,9981,4989,15011,5041,5011,1396,2442,2222,2244,3363,6760,10021
3923,1194,1168,10524,10102,1176,5128,7962,10331,4815,8001,2651,2186,2458,10176,12661,10138,5128,15534,5222,5203,1593,2369,2332,2275,3491,6995,10560
4061,1165,1262,11228,10160,1149,5410,8456,10777,5115,8317,2813,2348,2362,10774,13237,10326,5410,16144,5602,5367,1601,2321,2517,2336,3597,7183,11394
4184,1278,1236,12159,10260,1198,5597,8877,11156,5261,8683,3384,2400,2381,11006,13629,10153,5597,16715,5391,5559,1711,2279,2523,2521,3706,7600,12052
4384,1293,1307,13230,10564,1184,5827,9360,11712,5508,9148,3703,2601,2185,11570,14276,10194,5827,17597,5824,5885,1820,2352,2676,2651,3941,7913,12860
4493,1452,1381,14334,10871,1233,6131,10066,12375,6008,9756,4077,2753,2118,12189,14994,10416,6131,18619,6180,6244,1874,2309,2750,2806,4101,8460,13879
4780,1555,1481,15473,11289,1366,6529,10635,13021,6232,10250,4617,2833,2165,12800,15792,10569,6529,19513,6239,6492,2009,2386,2847,2939,4346,8896,14753
4865,1648,1547,16656,11768,1444,6890,11258,13767,6654,11150,5039,2972,2150,13479,16384,10878,6890,20644,6578,6877,2248,2509,2969,3187,4603,9452,15766
5161,1771,1634,18521,12180,1485,7353,12313,14767,7028,12184,5839,3154,2085,14171,17350,11013,7353,22181,6843,7414,2578,2454,3252,3471,5098,10265,17354
5404,1948,1847,20401,12787,1575,7950,13487,15939,7728,13342,6433,3311,1971,15311,18536,11477,7950,23928,7535,7989,2807,2452,3550,3708,5413,11154,19091
5651,2077,1840,22144,13462,1723,8314,14428,17064,8396,14430,7161,3622,2081,16451,19698,11984,8314,25814,7822,8750,3017,2636,3740,4062,5721,11956,20666
5682,1865,1941,23120,13345,1782,8597,14849,17349,8634,14700,7692,3908,1921,17243,19998,11578,8597,26101,7736,8752,3033,2500,3950,3903,5872,11583,21353
6051,1990,2209,24918,13845,2068,9178,15729,18292,8874,15608,8453,4161,1827,18461,20976,11666,9178,27406,8012,9114,3367,2563,4035,3829,6279,11844,22739
6235,1893,2284,26629,14048,2230,9488,16448,19026,9334,16248,9328,4349,1725,19533,21804,11423,9488,28564,7973,9538,3457,2578,4358,3912,6463,12056,24004
6373,1900,2323,28419,14546,2508,9899,17381,19951,9810,17346,10080,4827,1612,20938,22556,11483,9899,30003,8259,10052,3768,2570,4460,3933,6771,12193,25356
6399,1874,2350,29870,14912,2764,10129,17987,20706,10173,18441,10754,5043,1590,22202,22971,11542,10129,31283,8362,10577,4134,2719,4709,3966,6787,12423,26500
6730,1787,2462,31574,15387,3042,10784,19058,21675,10572,19318,11536,5406,1637,23677,24032,11776,10784,32566,8502,10891,4373,2617,5063,3915,7121,12552,27963
6906,1857,2560,34034,16097,3396,11534,20320,23052,11204,21088,12544,5950,1562,25446,25016,12070,11534,34570,8946,11518,4942,2732,5224,4065,7655,13003,30007
7171,1731,2791,37101,16851,3903,12197,21965,24732,12242,22880,13957,6490,1588,28128,26584,12363,12197,37267,9187,12535,5319,2767,5533,4284,8057,13279,32613
